"Aberdeen, Scotland",57,"9 N",2,"9 W","5:00 p.m."
"Adelaide, Australia",34,"55 S",138,"36 E","2:30 a.m.1"
"Albany, N.Y.",42,40,73,45,"12:00 noon"
"Albuquerque, N.M.",35,5,106,39,"10:00 a.m."
"Algiers, Algeria",36,"50 N",3,"0 E","6:00 p.m."
"Amarillo, Tex.",35,11,101,50,"11:00 a.m."
"Amsterdam, Netherlands",52,"22 N",4,"53 E","6:00 p.m."
"Anchorage, Alaska",61,13,149,54,"8:00 a.m."
"Ankara, Turkey",39,"55 N",32,"55 E","7:00 p.m."
"Asuncion, Paraguay",25,"15 S",57,"40 W","1:00 p.m."
"Athens, Greece",37,"58 N",23,"43 E","7:00 p.m."
"Atlanta, Ga.",33,45,84,23,"12:00 noon"
"Auckland, New Zealand",36,"52 S",174,"45 E","5:00 a.m.1"
"Austin, Tex.",30,16,97,44,"11:00 a.m."
"Baker, Ore.",44,47,117,50,"9:00 a.m."
"Baltimore, Md.",39,18,76,38,"12:00 noon"
"Bangkok, Thailand",13,"45 N",100,"30 E","midnight"
"Bangor, Maine",44,48,68,47,"12:00 noon"
"Barcelona, Spain",41,"23 N",2,"9 E","6:00 p.m."
"Beijing, China",39,"55 N",116,"25 E","1:00 a.m.1"
"Belem, Brazil",1,"28 S",48,"29 W","2:00 p.m."
"Belfast, Northern Ireland",54,"37 N",5,"56 W","5:00 p.m."
"Belgrade, Serbia",44,"52 N",20,"32 E","6:00 p.m."
"Berlin, Germany",52,"30 N",13,"25 E","6:00 p.m."
"Birmingham, Ala.",33,30,86,50,"11:00 a.m."
"Birmingham, England",52,"25 N",1,"55 W","5:00 p.m."
"Bismarck, N.D.",46,48,100,47,"11:00 a.m."
"Bogota, Colombia",4,"32 N",74,"15 W","12:00 noon"
"Boise, Idaho",43,36,116,13,"10:00 a.m."
"Bombay, India",19,"0 N",72,"48 E","10:30 p.m."
"Bordeaux, France",44,"50 N",0,"31 W","6:00 p.m."
"Boston, Mass.",42,21,71,5,"12:00 noon"
"Bremen, Germany",53,"5 N",8,"49 E","6:00 p.m."
"Brisbane, Australia",27,"29 S",153,"8 E","3:00 a.m.1"
"Bristol, England",51,"28 N",2,"35 W","5:00 p.m."
"Brussels, Belgium",50,"52 N",4,"22 E","6:00 p.m."
"Bucharest, Romania",44,"25 N",26,"7 E","7:00 p.m."
"Budapest, Hungary",47,"30 N",19,"5 E","6:00 p.m."
"Buenos Aires, Argentina",34,"35 S",58,"22 W","2:00 p.m."
"Buffalo, N.Y.",42,55,78,50,"12:00 noon"
"Cairo, Egypt",30,"2 N",31,"21 E","7:00 p.m."
"Calcutta, India",22,"34 N",88,"24 E","10:30 p.m."
"Calgary, Alba., Can.",51,1,114,1,"10:00 a.m."
"Canton, China",23,"7 N",113,"15 E","1:00 a.m.1"
"Cape Town, South Africa",33,"55 S",18,"22 E","7:00 p.m."
"Caracas, Venezuela",10,"28 N",67,"2 W","1:00 p.m."
"Carlsbad, N.M.",32,26,104,15,"10:00 a.m."
"Cayenne, French Guiana",4,"49 N",52,"18 W","2:00 p.m."
"Charleston, S.C.",32,47,79,56,"12:00 noon"
"Charleston, W. Va.",38,21,81,38,"12:00 noon"
"Charlotte, N.C.",35,14,80,50,"12:00 noon"
"Cheyenne, Wyo.",41,9,104,52,"10:00 a.m."
"Chicago, Ill.",41,50,87,37,"11:00 a.m."
"Chihuahua, Mexico",28,"37 N",106,"5 W","10:00 a.m."
"Chongqing, China",29,"46 N",106,"34 E","1:00 a.m.1"
"Cincinnati, Ohio",39,8,84,30,"12:00 noon"
"Cleveland, Ohio",41,28,81,37,"12:00 noon"
"Columbia, S.C.",34,0,81,2,"12:00 noon"
"Columbus, Ohio",40,0,83,1,"12:00 noon"
"Copenhagen, Denmark",55,"40 N",12,"34 E","6:00 p.m."
"Cordoba, Argentina",31,"28 S",64,"10 W","2:00 p.m."
"Dakar, Senegal",14,"40 N",17,"28 W","5:00 p.m."
